职位名字,公司名字,公司类型,薪资,地区,工作年限,发布日期,福利,经验,学历,所属行业
嵌入式软件工程师（DSP）,成都恒享科技有限公司,民营公司,20-30万/年,成都-成华区,3,2021-10-22 10:07:44,五险一金 餐饮补贴 年终奖金,1年经验,本科,通信/电信/网络设备
FPGA工程师,北京科电航宇空间技术有限公司,民营公司,1-2万/月,成都-青羊区,5,2021-10-21 15:06:49,五险一金 补充医疗保险 交通补贴 绩效奖金 通讯补贴 餐饮补贴 定期体检,3-4年经验,本科,电子技术/半导体/集成电路
ASIC高级开发工程师（5G基带）,白盒子（上海）微电子科技有限公司,民营公司,2.5-5万/月,成都-天府新区,8,2021-10-20 11:06:15,五险一金 股票期权 餐饮补贴 年终奖金,10年以上经验,本科,电子技术/半导体/集成电路
多媒体应用开发专家-成都-G00263,沐曦集成电路（上海）有限公司,民营公司,2-3.6万/月,成都-高新区,6,2021-10-19 10:00:55,五险一金 绩效奖金 年终奖金 弹性工作 定期体检 补充医疗保险,5-7年经验,本科,电子技术/半导体/集成电路
大数据产品工程师,上海直真君智科技有限公司,民营公司,1.5-2万/月,成都-青羊区,6,2021-10-18 15:00:01,,5-7年经验,本科,计算机软件
FPGA工程师（卫星通信方向）,成都华力创通科技有限公司,民营公司,1.4-2.5万/月,成都-高新区,5,2021-10-16 16:41:42,五险一金 员工旅游 餐饮补贴 通讯补贴 专业培训 出国机会 绩效奖金 年终奖金 股票期权 定期体检,3-4年经验,本科,电子技术/半导体/集成电路
信号处理工程师,中国电子科技集团公司第十研究所,事业单位,0.8-1.5万/月,成都-金牛区,5,2021-10-14 18:15:02,五险一金 补充医疗保险 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 住房补贴 单身宿舍,3-4年经验,硕士,电子技术/半导体/集成电路
大数据挖掘工程师,贵州海康交通大数据有限公司,民营公司,1.2-1.8万/月,成都-天府新区,5,2021-10-12 11:38:52,,3-4年经验,本科,互联网/电子商务
信号处理工程师,成都能通科技股份有限公司,民营公司,1.5-3万/月,成都-武侯区,5,2021-09-29 17:45:21,五险一金 补充医疗保险 员工旅游 餐饮补贴 专业培训 定期体检 年终奖金 绩效奖金 生日福利 部门活动基金,3-4年经验,本科,电子技术/半导体/集成电路
航空监视技术研发人员-科研中心,中国民用航空总局第二研究所,国企,1-1.5万/月,成都,3,2021-09-25 18:31:42,周末双休 绩效奖金 定期体检 五险一金 专业培训 年终奖金 弹性工作,1年经验,硕士,交通/运输/物流
科研课题\项目研究员,中国民用航空总局第二研究所,国企,20-30万/年,成都,10,2021-09-25 18:31:42,定期体检 周末双休 年终奖金 补充医疗保险 绩效奖金 五险一金 出国机会,无需经验,博士,交通/运输/物流
雷达信号处理工程师,成都天鹰锐视科技有限公司,民营公司,1.5-2万/月,成都-高新区,10,2021-09-24 14:13:01,周末双休 弹性工作 五险一金 14薪 节假日福利,无需经验,本科,计算机硬件
