Aobject_id,lastmodified_time_range,Aexception_type,f0410_name,lastoccur_region,lastappeared_id,lat,username,M,Bexception_type,company,machine_type,machine_mark,isCivilPlane,gjdq,importancelecel,course,category,name0410en,name0410,lastmodified_time,isCivilPlanePossibility,long,name0410Possibility,Bobject_id,lastmodified_date,id,importancelevel
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",31.265404,"\"null\"",1.60345178E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",173.70682,异常,"\"null\"","\"null\"",11:16:31,0,124.36917,0,68,2020-10-23,12562,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",28.85762,"\"null\"",1.60344986E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",345.81097,未知,"\"null\"","\"null\"",10:44:31,0,123.46409,0,72,2020-10-23,12566,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",26.910412,"\"null\"",1.60345037E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",193.03795,未知,"\"null\"","\"null\"",10:52:31,0,124.553314,0,80,2020-10-23,12574,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",27.774414,"\"null\"",1.60345139E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",224.83623,异常,"\"null\"","\"null\"",11:10:31,0,122.976204,0,82,2020-10-23,12576,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",30.534136,"\"null\"",1.60345075E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",100.649666,未知,"\"null\"","\"null\"",10:58:31,0,125.40822,0,85,2020-10-23,12579,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",28.99163,"\"null\"",1.60345101E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",345.19888,异常,"\"null\"","\"null\"",11:02:31,0,124.52327,0,87,2020-10-23,12581,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",29.191751,"\"null\"",1.60345101E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",274.5228,未知,"\"null\"","\"null\"",11:02:31,0,125.22795,0,88,2020-10-23,12582,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",30.86599,"\"null\"",1.60345165E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",45.165703,未知,"\"null\"","\"null\"",11:14:31,0,125.21261,0,91,2020-10-23,12585,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",27.328573,"\"null\"",1.60345088E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",21.344866,未知,"\"null\"","\"null\"",11:00:31,0,122.815834,0,70,2020-10-23,12564,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",28.12406,"\"null\"",1.60345024E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",225.40308,未知,"\"null\"","\"null\"",10:50:31,0,123.30532,0,2,2020-10-23,12496,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",28.133074,"\"null\"",1.60345024E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",222.3919,未知,"\"null\"","\"null\"",10:50:31,0,122.51377,0,11,2020-10-23,12505,
